Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
21;20388;"Justice Quarterly";journal;"17459109, 07418825";1,564;Q1;101;93;174;7724;847;168;4,02;83,05;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1984-2022";"Law (Q1); Pathology and Forensic Medicine (Q1)";"Medicine; Social Sciences"
22;13880;"Artificial Intelligence and Law";journal;"09248463, 15728382";1,544;Q1;45;45;54;2860;307;52;5,45;63,56;Netherlands;Western Europe;"Springer Netherlands";"1992-1993, 1995-2022";"Artificial Intelligence (Q1); Law (Q1)";"Computer Science; Social Sciences"
23;14000156253;"Regulation and Governance";journal;"17485983, 17485991";1,449;Q1;54;119;169;9373;666;167;3,64;78,76;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2022";"Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
24;22743;"International Environmental Agreements: Politics, Law and Economics";journal;"15679764, 15731553";1,418;Q1;44;38;114;2636;428;106;3,66;69,37;Netherlands;Western Europe;"Springer Netherlands";"2002-2022";"Economics and Econometrics (Q1); Law (Q1); Political Science and International Relations (Q1)";"Economics, Econometrics and Finance; Social Sciences"
25;20532;"Journal of Air Transport Management";journal;"09696997";1,402;Q1;88;88;370;5206;2510;367;7,44;59,16;United Kingdom;Western Europe;"Elsevier Ltd.";"1994-1995, 1997-2023";"Law (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1); Transportation (Q1)";"Business, Management and Accounting; Environmental Science; Social Sciences"
26;19751;"Stanford Law Review";journal;"00389765";1,348;Q1;78;22;67;1001;119;54;1,54;45,50;United States;Northern America;"Stanford Law School";"1974-1976, 1978-1979, 1987-1994, 1996-2022";"Law (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
27;16242;"Journal of Law, Economics, and Organization";journal;"14657341, 87566222";1,345;Q1;75;15;56;737;82;56;1,50;49,13;United Kingdom;Western Europe;"Oxford University Press";"1985-2022";"Economics and Econometrics (Q1); Law (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
28;21100899442;"Comparative Migration Studies";journal;"2214594X";1,340;Q1;26;47;149;2692;621;125;3,53;57,28;Switzerland;Western Europe;"SpringerOpen";"2013-2022";"Demography (Q1); Geography, Planning and Development (Q1); Law (Q1); Sociology and Political Science (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Social Sciences"
29;5700164300;"Youth Violence and Juvenile Justice";journal;"15412040";1,300;Q1;52;20;62;1567;302;61;4,93;78,35;United States;Northern America;"SAGE Publications Inc.";"2003-2022";"Developmental and Educational Psychology (Q1); Health (social science) (Q1); Law (Q1)";"Psychology; Social Sciences"
30;20377;"Journal of Quantitative Criminology";journal;"07484518, 15737799";1,213;Q1;90;62;116;4623;533;113;4,19;74,56;United States;Northern America;"Springer New York";"1985-2022";"Law (Q1); Pathology and Forensic Medicine (Q1)";"Medicine; Social Sciences"
31;24303;"Computer Standards and Interfaces";journal;"09205489";1,199;Q1;71;55;158;2749;891;158;6,28;49,98;Netherlands;Western Europe;"Elsevier";"1985-2023";"Computer Science Applications (Q1); Hardware and Architecture (Q1); Law (Q1); Software (Q1)";"Computer Science; Social Sciences"
32;130146;"Journal of Experimental Criminology";journal;"15733750";1,141;Q1;58;88;110;5700;445;110;3,01;64,77;Netherlands;Western Europe;"Springer Netherlands";"2005-2022";"Law (Q1)";"Social Sciences"
33;19900191537;"International Theory";journal;"17529727, 17529719";1,133;Q1;35;27;65;2060;154;65;2,39;76,30;United Kingdom;Western Europe;"Cambridge University Press";"2009-2022";"Law (Q1); Philosophy (Q1); Political Science and International Relations (Q1)";"Arts and Humanities; Social Sciences"
34;5200152206;"Annual Review of Law and Social Science";book series;"15503585";1,117;Q1;53;17;83;1778;229;83;2,34;104,59;United States;Northern America;"Annual Reviews Inc.";"2006-2021";"Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
35;22856;"Yale Law Journal";journal;"00440094";1,077;Q1;85;31;111;2504;222;106;2,08;80,77;United States;Northern America;"Yale Law Journal";"1973-1975, 1977-1979, 1981, 1983, 1985-1991, 1994, 1996-2022";"Law (Q1)";"Social Sciences"
36;27851;"Marine Policy";journal;"0308597X";1,034;Q1;115;421;1287;25831;5644;1284;4,24;61,36;United Kingdom;Western Europe;"Elsevier Ltd.";"1977-2022";"Aquatic Science (Q1); Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
37;19664;"Criminal Justice and Behavior";journal;"15523594, 00938548";1,033;Q1;106;94;274;5963;942;271;2,93;63,44;United States;Northern America;"SAGE Publications Inc.";"1974-2022";"Law (Q1); Pathology and Forensic Medicine (Q1); Psychology (miscellaneous) (Q1)";"Medicine; Psychology; Social Sciences"
38;26836;"Journal of International Economic Law";journal;"14643758, 13693034";1,019;Q1;54;19;108;2010;239;104;1,86;105,79;United Kingdom;Western Europe;"Oxford University Press";"1998-2022";"Economics, Econometrics and Finance (miscellaneous) (Q1); Law (Q1)";"Economics, Econometrics and Finance; Social Sciences"
39;21100269613;"Transnational Environmental Law";journal;"20471033, 20471025";0,999;Q1;24;25;76;1634;183;75;2,70;65,36;United Kingdom;Western Europe;"Cambridge University Press";"2012-2022";"Law (Q1); Management, Monitoring, Policy and Law (Q1)";"Environmental Science; Social Sciences"
40;147233;"Punishment and Society";journal;"17413095, 14624745";0,996;Q1;65;65;98;4439;295;97;2,77;68,29;United Kingdom;Western Europe;"SAGE Publications Ltd";"1999-2022";"Law (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
41;17591;"Law and Society Review";journal;"00239216, 15405893";0,970;Q1;83;27;94;2175;213;84;1,96;80,56;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-1979, 1983, 1985, 1987, 1996-2022";"Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
42;22087;"Theoretical Criminology";journal;"14617439, 13624806";0,965;Q1;83;48;97;3505;297;92;2,90;73,02;United Kingdom;Western Europe;"SAGE Publications Ltd";"1997-2022";"Law (Q1); Pathology and Forensic Medicine (Q1); Sociology and Political Science (Q1)";"Medicine; Social Sciences"
43;11600154701;"Police Quarterly";journal;"10986111, 1552745X";0,960;Q1;59;37;64;2512;220;63;3,36;67,89;United States;Northern America;"SAGE Publications Inc.";"1998-2022";"Law (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
44;21100774810;"Health and Justice";journal;"21947899";0,954;Q1;17;36;76;1709;268;76;3,34;47,47;United Kingdom;Western Europe;"SpringerOpen";"2016-2022";"Law (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
45;19625;"Crime and Delinquency";journal;"1552387X, 00111287";0,948;Q1;82;243;266;16236;812;264;2,75;66,81;United States;Northern America;"SAGE Publications Inc.";"1955-2022";"Law (Q1); Pathology and Forensic Medicine (Q1)";"Medicine; Social Sciences"
46;17545;"Law and Human Behavior";journal;"01477307, 1573661X";0,940;Q1;105;33;116;1663;416;114;2,91;50,39;United States;Northern America;"Springer New York";"1977-2022";"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Psychology (miscellaneous) (Q1); Psychiatry and Mental Health (Q2)";"Arts and Humanities; Medicine; Psychology; Social Sciences"
47;21100881654;"Journal of Law and the Biosciences";journal;"20539711";0,939;Q1;26;27;133;1258;479;132;3,42;46,59;United Kingdom;Western Europe;"Oxford University Press";"2014, 2016-2022";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Law (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Social Sciences"
48;22810;"British Journal of Criminology";journal;"00070955, 14643529";0,923;Q1;107;57;239;3759;824;238;3,05;65,95;United Kingdom;Western Europe;"Oxford University Press";"1960-2022";"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Pathology and Forensic Medicine (Q1); Social Psychology (Q2)";"Arts and Humanities; Medicine; Psychology; Social Sciences"
49;19786;"Utilities Policy";journal;"09571787";0,906;Q1;59;95;313;5996;1325;308;4,23;63,12;United Kingdom;Western Europe;"Elsevier BV";"1990-1995, 1997-2001, 2003-2022";"Business and International Management (Q1); Development (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2); Transportation (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
50;5600153974;"Policing and Society";journal;"10439463";0,901;Q1;49;91;219;6402;711;213;3,06;70,35;United Kingdom;Western Europe;"Routledge";"1990-2003, 2005-2022";"Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
51;11400153312;"Feminist Criminology";journal;"15570851, 1557086X";0,844;Q1;41;32;90;1637;287;86;3,05;51,16;United Kingdom;Western Europe;"SAGE Publications Ltd";"2006-2022";"Gender Studies (Q1); Law (Q1)";"Social Sciences"
52;21100788802;"Forensic Chemistry";journal;"24681709";0,831;Q1;23;68;209;2591;565;205;2,79;38,10;Netherlands;Western Europe;"Elsevier BV";"2016-2022";"Analytical Chemistry (Q1); Law (Q1); Materials Chemistry (Q1); Pathology and Forensic Medicine (Q1); Physical and Theoretical Chemistry (Q1); Spectroscopy (Q1)";"Chemistry; Materials Science; Medicine; Social Sciences"
53;21100869222;"Journal of Legal Affairs and Dispute Resolution in Engineering and Construction";journal;"19434162, 19434170";0,822;Q1;17;57;202;2454;559;198;2,62;43,05;United States;Northern America;"American Society of Civil Engineers (ASCE)";"2009, 2018-2023";"Civil and Structural Engineering (Q1); Engineering (miscellaneous) (Q1); Law (Q1); Safety, Risk, Reliability and Quality (Q1)";"Engineering; Social Sciences"
54;13143;"Columbia Law Review";journal;"00101958";0,818;Q1;76;50;157;349;244;144;1,13;6,98;United States;Northern America;"Columbia Law Review Association";"1973-1981, 1984, 1987-1988, 1990, 1992-2022";"Law (Q1)";"Social Sciences"
55;21100855505;"Journal of Cybersecurity";journal;"20572093";0,812;Q1;22;12;64;878;263;64;2,86;73,17;United Kingdom;Western Europe;"Oxford University Press";"2015-2022";"Computer Science (miscellaneous) (Q1); Law (Q1); Political Science and International Relations (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Social Psychology (Q2); Software (Q2)";"Computer Science; Engineering; Psychology; Social Sciences"
56;17400154828;"Psychological Injury and Law";journal;"1938971X, 19389728";0,789;Q1;30;35;86;2591;295;82;3,38;74,03;United States;Northern America;"Springer New York";"2008-2022";"Ecology (Q1); Law (Q1); Psychiatry and Mental Health (Q2)";"Environmental Science; Medicine; Social Sciences"
57;14316;"Harvard Law Review";journal;"0017811X";0,785;Q1;90;42;136;618;195;108;0,75;14,71;United States;Northern America;"Harvard Law Review Association";"1973-2022";"Law (Q1)";"Social Sciences"
58;21100217634;"Journal of Empirical Legal Studies";journal;"17401453, 17401461";0,783;Q1;30;31;85;2170;168;84;1,43;70,00;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2011-2022";"Education (Q1); Law (Q1)";"Social Sciences"
59;5700160617;"Criminal Justice Policy Review";journal;"08874034, 15523586";0,773;Q1;38;39;159;2484;368;158;2,14;63,69;United States;Northern America;"SAGE Publications Inc.";"1986-1987, 1989-1992, 1995, 1997-1999, 2004-2022";"Law (Q1)";"Social Sciences"
60;21101032719;"Forensic Science International: Digital Investigation";journal;"26662817, 26662825";0,772;Q1;61;83;276;2939;813;259;2,57;35,41;United Kingdom;Western Europe;"Elsevier Ltd.";"2020-2022";"Law (Q1); Medical Laboratory Technology (Q1); Pathology and Forensic Medicine (Q1); Computer Science Applications (Q2); Information Systems (Q2)";"Computer Science; Health Professions; Medicine; Social Sciences"
61;26339;"International and Comparative Law Quarterly";journal;"00205893";0,768;Q1;54;36;106;1661;150;106;1,30;46,14;United Kingdom;Western Europe;"Cambridge University Press";"1952-2022";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
62;21100923464;"International Data Privacy Law";journal;"20443994, 20444001";0,762;Q1;27;11;76;1108;150;65;1,72;100,73;United States;Northern America;"Oxford University Press";"2011-2022";"Law (Q1)";"Social Sciences"
63;15626;"International Journal of Law and Psychiatry";journal;"18736386, 01602527";0,754;Q1;73;49;256;2822;657;246;2,70;57,59;United Kingdom;Western Europe;"Elsevier Ltd.";"1978-1984, 1986-2022";"Law (Q1); Pathology and Forensic Medicine (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Social Sciences"
64;22852;"Yale journal on regulation";journal;"07419457";0,751;Q1;8;15;61;1492;74;60;1,22;99,47;United States;Northern America;"Yale Journal on Regulation";"1991, 1994, 1998, 2019-2021";"Law (Q1); Public Administration (Q2)";"Social Sciences"
65;21100465147;"Election Law Journal: Rules, Politics, and Policy";journal;"15578062, 15331296";0,750;Q1;12;20;82;1372;127;81;1,35;68,60;United States;Northern America;"Mary Ann Liebert Inc.";"2016-2022";"Law (Q1)";"Social Sciences"
66;27743;"Forensic Science International";journal;"03790738, 18726283";0,740;Q1;134;273;1231;10241;3059;1199;2,32;37,51;Ireland;Western Europe;"Elsevier Ireland Ltd";"1978-2022";"Law (Q1); Pathology and Forensic Medicine (Q1)";"Medicine; Social Sciences"
67;18777;"Violence Against Women";journal;"10778012, 15528448";0,739;Q1;107;259;364;15512;1192;348;2,63;59,89;United States;Northern America;"SAGE Publications Inc.";"1995-2022";"Gender Studies (Q1); Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
68;21100904891;"Forensic Science International: Synergy";journal;"2589871X";0,726;Q1;13;45;167;2480;392;121;2,38;55,11;Netherlands;Western Europe;"Elsevier BV";"2019-2022";"Law (Q1); Pathology and Forensic Medicine (Q2)";"Medicine; Social Sciences"
69;28802;"Electricity Journal";journal;"10406190";0,719;Q1;54;92;310;3419;946;296;3,03;37,16;United States;Northern America;"Elsevier Inc.";"1988-2022";"Law (Q1); Business and International Management (Q2); Energy (miscellaneous) (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Energy; Social Sciences"
70;28888;"Computer Law and Security Review";journal;"02673649";0,718;Q1;49;70;189;1576;580;182;2,96;22,51;United Kingdom;Western Europe;"Elsevier Ltd.";"1985-2022";"Business, Management and Accounting (miscellaneous) (Q1); Law (Q1); Computer Networks and Communications (Q2)";"Business, Management and Accounting; Computer Science; Social Sciences"
71;21570;"Prison Journal";journal;"00328855, 15527522";0,714;Q1;56;37;115;1753;220;114;1,42;47,38;United States;Northern America;"SAGE Publications Inc.";"1921-1992, 1996-2022";"Law (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
72;21100942111;"Journal of Law and Courts";journal;"21646589, 21646570";0,709;Q1;17;14;48;962;53;47;1,17;68,71;United States;Northern America;"University of Chicago Press";"2013-2022";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
73;5700165148;"European Constitutional Law Review";journal;"15740196";0,708;Q1;30;34;94;1142;129;91;1,12;33,59;United Kingdom;Western Europe;"Cambridge University Press";"2005-2022";"Law (Q1)";"Social Sciences"
74;21539;"Harvard Civil Rights-Civil Liberties Law Review";journal;"00178039";0,702;Q1;29;0;12;0;16;12;0,50;0,00;United States;Northern America;"Harvard University";"1973, 1975, 1981-1982, 1984, 1988, 1991-1992, 1996-2011, 2013-2019, 2021";"Law (Q1)";"Social Sciences"
75;20369;"Journal of Family Violence";journal;"08857482, 15732851";0,691;Q1;86;197;243;11522;725;241;2,74;58,49;United States;Northern America;"Springer New York";"1986-2022";"Law (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Clinical Psychology (Q2)";"Psychology; Social Sciences"
76;21100238638;"Global Policy";journal;"17585899, 17585880";0,686;Q1;42;113;376;5352;822;332;1,78;47,36;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010-2022";"Law (Q1); Political Science and International Relations (Q1); Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2); Global and Planetary Change (Q3)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
77;28916;"IEEE Security and Privacy";journal;"15584046, 15407993";0,684;Q1;81;88;227;886;539;192;1,71;10,07;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2003-2022";"Law (Q1); Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2)";"Computer Science; Engineering; Social Sciences"
78;5400152639;"IET Intelligent Transport Systems";journal;"17519578, 1751956X";0,681;Q1;58;164;557;7313;1944;542;3,31;44,59;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2007-2022";"Law (Q1); Environmental Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Transportation (Q2)";"Engineering; Environmental Science; Social Sciences"
79;145137;"Critical Criminology";journal;"15729877, 12058629";0,675;Q1;34;74;136;5266;309;122;1,77;71,16;Netherlands;Western Europe;"Springer Netherlands";"1996-1997, 2000-2002, 2004-2022";"Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
80;21100236217;"Review of European, Comparative and International Environmental Law";journal;"20500386, 20500394";0,668;Q1;24;59;109;0;217;103;1,99;0,00;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2013-2022";"Geography, Planning and Development (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q2)";"Environmental Science; Social Sciences"
81;22132;"Virginia Law Review";journal;"00426601";0,655;Q1;59;23;64;6627;72;64;1,21;288,13;United States;Northern America;"University of Virginia";"1967, 1974-1978, 1980, 1983-1985, 1987, 1990, 1992, 1995-2022";"Law (Q1)";"Social Sciences"
82;5700168360;"Police Practice and Research";journal;"15614263";0,654;Q1;33;64;203;3661;441;187;2,26;57,20;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2022";"Law (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
83;21101052765;"Journal of Criminology";journal;"26338076, 26338084";0,652;Q1;45;34;93;2087;229;90;2,11;61,38;United Kingdom;Western Europe;"SAGE Publications Ltd";"2021-2022";"Law (Q1)";"Social Sciences"
84;15662;"International Review of Law and Economics";journal;"01448188";0,647;Q1;45;37;157;1727;185;155;1,21;46,68;United States;Northern America;"Elsevier Inc.";"1981-2022";"Law (Q1); Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance; Social Sciences"
85;21100388413;"Policing (Oxford)";journal;"17524512, 17524520";0,647;Q1;26;22;300;1104;603;281;1,88;50,18;United Kingdom;Western Europe;"Oxford University Press";"2014-2022";"Law (Q1)";"Social Sciences"
86;20000195069;"Trends and Issues in Crime and Criminal Justice";trade journal;"18362206, 08178542";0,645;Q1;18;15;61;619;151;61;2,36;41,27;Australia;Pacific Region;"Australian Institute of Criminology";"2011-2021";"Law (Q1)";"Social Sciences"
87;5000158107;"Asian Journal of Criminology";journal;"1871014X, 18710131";0,632;Q1;21;36;59;2242;138;55;2,18;62,28;Netherlands;Western Europe;"Springer Netherlands";"2006-2022";"Law (Q1)";"Social Sciences"
88;17600155423;"International Journal of Transitional Justice, The";journal;"17527724, 17527716";0,630;Q1;30;19;95;800;150;90;1,39;42,11;United Kingdom;Western Europe;"Oxford University Press";"2011-2022";"Law (Q1)";"Social Sciences"
89;21541;"Policing";journal;"1363951X";0,630;Q1;55;71;215;3870;474;213;1,99;54,51;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1997-2022";"Law (Q1); Pathology and Forensic Medicine (Q2); Public Administration (Q2)";"Medicine; Social Sciences"
90;21100830164;"Business and Human Rights Journal";journal;"20570198, 20570201";0,629;Q1;17;37;93;858;148;93;1,68;23,19;United Kingdom;Western Europe;"Cambridge University Press";"2016-2022";"Law (Q1); Sociology and Political Science (Q1); Business and International Management (Q2); Industrial Relations (Q2)";"Business, Management and Accounting; Social Sciences"
91;21100286942;"Hague Journal on the Rule of Law";journal;"18764053, 18764045";0,624;Q1;21;15;83;784;118;68;1,08;52,27;Switzerland;Western Europe;"Springer International Publishing AG";"2009-2022";"Law (Q1)";"Social Sciences"
92;130084;"Journal of Contemporary Criminal Justice";journal;"10439862, 15525406";0,616;Q1;54;53;92;1019;238;82;2,75;19,23;United States;Northern America;"SAGE Publications Inc.";"1978-1981, 1983-1984, 1987-2022";"Law (Q1)";"Social Sciences"
93;6500153248;"Victims and Offenders";journal;"15564886, 15564991";0,614;Q1;36;116;200;8523;570;192;3,06;73,47;United Kingdom;Western Europe;"Routledge";"2006-2022";"Law (Q1); Applied Psychology (Q2); Health (social science) (Q2); Pathology and Forensic Medicine (Q2)";"Medicine; Psychology; Social Sciences"
94;5700162193;"Leiden Journal of International Law";journal;"09221565, 14789698";0,613;Q1;40;53;137;4922;157;134;0,98;92,87;United Kingdom;Western Europe;"Cambridge University Press";"1988-2022";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
95;12100155619;"Journal of Police and Criminal Psychology";journal;"19366469, 08820783";0,611;Q1;30;100;168;5776;405;165;2,25;57,76;Germany;Western Europe;"Springer Verlag";"1985-2022";"Law (Q1); Applied Psychology (Q2)";"Psychology; Social Sciences"
96;21100922747;"Journal of Developmental and Life-Course Criminology";journal;"21994641, 2199465X";0,609;Q1;18;29;85;1868;170;78;1,86;64,41;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2022";"Law (Q1); Applied Psychology (Q2); Life-span and Life-course Studies (Q2)";"Psychology; Social Sciences"
