Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
26;13880;"Artificial Intelligence and Law";journal;"09248463, 15728382";1,316;Q1;41;33;47;1541;227;44;4,94;46,70;Netherlands;Western Europe;"Springer Netherlands";"1992-1993, 1995-2021";"Artificial Intelligence (Q1); Law (Q1)"
27;14000156253;"Regulation and Governance";journal;"17485983, 17485991";1,293;Q1;49;120;145;9700;578;145;3,24;80,83;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2021";"Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
28;147233;"Punishment and Society";journal;"17413095, 14624745";1,258;Q1;61;73;93;4897;334;91;2,91;67,08;United Kingdom;Western Europe;"SAGE Publications Ltd";"1999-2021";"Law (Q1); Social Sciences (miscellaneous) (Q1)"
29;19900191537;"International Theory";journal;"17529727, 17529719";1,238;Q1;31;39;51;2615;177;51;2,97;67,05;United Kingdom;Western Europe;"Cambridge University Press";"2009-2021";"Law (Q1); Philosophy (Q1); Political Science and International Relations (Q1)"
30;22087;"Theoretical Criminology";journal;"14617439, 13624806";1,233;Q1;77;41;102;3203;367;96;3,22;78,12;United Kingdom;Western Europe;"SAGE Publications Ltd";"1997-2021";"Law (Q1); Pathology and Forensic Medicine (Q1); Sociology and Political Science (Q1)"
31;21101032719;"Forensic Science International: Digital Investigation";journal;"26662817, 26662825";1,230;Q1;55;102;247;3449;780;227;2,83;33,81;United Kingdom;Western Europe;"Elsevier Ltd.";"2020-2021";"Computer Science Applications (Q1); Information Systems (Q1); Law (Q1); Medical Laboratory Technology (Q1); Pathology and Forensic Medicine (Q1)"
32;130146;"Journal of Experimental Criminology";journal;"15733750";1,225;Q1;54;69;105;4399;373;105;3,58;63,75;Netherlands;Western Europe;"Springer Netherlands";"2005-2021";"Law (Q1)"
33;28916;"IEEE Security and Privacy";journal;"15584046, 15407993";1,175;Q1;78;79;219;645;670;187;2,38;8,16;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2003-2021";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Law (Q1)"
34;27851;"Marine Policy";journal;"0308597X";1,166;Q1;104;491;1194;30204;5496;1190;4,04;61,52;United Kingdom;Western Europe;"Elsevier Ltd.";"1977-2021";"Aquatic Science (Q1); Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1)"
35;21100881654;"Journal of Law and the Biosciences";journal;"20539711";1,144;Q1;23;37;121;2108;452;118;4,20;56,97;United Kingdom;Western Europe;"Oxford University Press";"2014, 2016-2021";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Law (Q1); Medicine (miscellaneous) (Q1)"
36;11600154701;"Police Quarterly";journal;"10986111, 1552745X";1,139;Q1;54;33;62;2472;261;61;3,39;74,91;United States;Northern America;"SAGE Publications Inc.";"1998-2021";"Law (Q1); Social Sciences (miscellaneous) (Q1)"
37;28888;"Computer Law and Security Review";journal;"02673649";1,138;Q1;41;86;213;1138;761;197;3,30;13,23;United Kingdom;Western Europe;"Elsevier Ltd.";"1985-2021";"Business, Management and Accounting (miscellaneous) (Q1); Computer Networks and Communications (Q1); Law (Q1)"
38;5700165148;"European Constitutional Law Review";journal;"15740196";1,124;Q1;27;30;101;1540;162;98;1,69;51,33;United Kingdom;Western Europe;"Cambridge University Press";"2005-2021";"Law (Q1)"
39;16242;"Journal of Law, Economics, and Organization";journal;"14657341, 87566222";1,124;Q1;73;16;50;769;79;50;0,80;48,06;United Kingdom;Western Europe;"Oxford University Press";"1985-2021";"Economics and Econometrics (Q1); Law (Q1); Organizational Behavior and Human Resource Management (Q1)"
40;25050;"American Journal of International Law";journal;"00029300";1,110;Q1;79;37;142;912;189;140;1,47;24,65;United States;Northern America;"Cambridge University Press";"1937, 1979, 1984, 1987, 1996-2021";"Law (Q1); Political Science and International Relations (Q1)"
41;19625;"Crime and Delinquency";journal;"1552387X, 00111287";1,093;Q1;77;171;242;11402;722;241;2,65;66,68;United States;Northern America;"SAGE Publications Inc.";"1955-2021";"Law (Q1); Pathology and Forensic Medicine (Q1)"
42;19664;"Criminal Justice and Behavior";journal;"15523594, 00938548";1,069;Q1;100;107;281;6357;792;276;2,78;59,41;United States;Northern America;"SAGE Publications Inc.";"1974-2021";"Law (Q1); Pathology and Forensic Medicine (Q1); Psychology (miscellaneous) (Q1)"
43;22810;"British Journal of Criminology";journal;"00070955, 14643529";1,048;Q1;100;93;217;6367;740;216;3,18;68,46;United Kingdom;Western Europe;"Oxford University Press";"1960-2021";"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Pathology and Forensic Medicine (Q1); Social Psychology (Q1)"
44;22856;"Yale Law Journal";journal;"00440094";1,043;Q1;82;24;131;203;211;117;1,57;8,46;United States;Northern America;"Yale Law Journal";"1973-1975, 1977-1979, 1981, 1983, 1985-1991, 1994, 1996-2021";"Law (Q1)"
45;17545;"Law and Human Behavior";journal;"01477307, 1573661X";1,006;Q1;98;38;120;1768;434;118;3,78;46,53;United States;Northern America;"Springer New York";"1977-2021";"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Psychiatry and Mental Health (Q1); Psychology (miscellaneous) (Q1)"
46;17591;"Law and Society Review";journal;"00239216, 15405893";0,966;Q1;78;24;109;1750;252;92;2,23;72,92;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-1979, 1983, 1985, 1987, 1996-2021";"Law (Q1); Sociology and Political Science (Q1)"
47;5600153974;"Policing and Society";journal;"10439463";0,956;Q1;44;109;216;7322;635;204;2,53;67,17;United Kingdom;Western Europe;"Routledge";"1990-2003, 2005-2021";"Law (Q1); Sociology and Political Science (Q1)"
48;11400153312;"Feminist Criminology";journal;"15570851, 1557086X";0,944;Q1;37;45;82;2757;280;79;3,38;61,27;United Kingdom;Western Europe;"SAGE Publications Ltd";"2006-2021";"Gender Studies (Q1); Law (Q1)"
49;20369;"Journal of Family Violence";journal;"08857482, 15732851";0,940;Q1;82;155;214;8465;821;213;4,06;54,61;United States;Northern America;"Springer New York";"1986-2021";"Clinical Psychology (Q1); Law (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
50;21100465147;"Election Law Journal: Rules, Politics, and Policy";journal;"15578062, 15331296";0,937;Q1;11;27;77;1354;119;77;1,60;50,15;United States;Northern America;"Mary Ann Liebert Inc.";"2016-2021";"Law (Q1)"
51;21100899442;"Comparative Migration Studies";journal;"2214594X";0,929;Q1;21;58;130;3336;439;100;3,11;57,52;Switzerland;Western Europe;"SpringerOpen";"2013-2021";"Demography (Q1); Geography, Planning and Development (Q1); Law (Q1); Sociology and Political Science (Q1); Statistics, Probability and Uncertainty (Q2)"
52;21100855505;"Journal of Cybersecurity";journal;"20572093";0,874;Q1;17;5;41;346;188;41;3,88;69,20;United Kingdom;Western Europe;"Oxford University Press";"2015-2021";"Computer Science (miscellaneous) (Q1); Law (Q1); Political Science and International Relations (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Social Psychology (Q2); Software (Q2)"
53;14045;"Psychology, Public Policy, and Law";journal;"10768971";0,872;Q1;67;46;109;3299;357;105;3,09;71,72;United States;Northern America;"American Psychological Association";"1995-2021";"Law (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)"
54;24303;"Computer Standards and Interfaces";journal;"09205489";0,867;Q1;67;47;183;2196;810;183;4,94;46,72;Netherlands;Western Europe;"Elsevier";"1985-2022";"Law (Q1); Hardware and Architecture (Q2); Software (Q2)"
55;21100817648;"Race and Justice";journal;"21533687";0,867;Q1;16;49;75;2684;169;71;1,93;54,78;United States;Northern America;"SAGE Publications Inc.";"2011-2021";"Anthropology (Q1); Law (Q1); Sociology and Political Science (Q1)"
56;19400158595;"World Trade Review";journal;"14747456, 14753138";0,863;Q1;33;48;105;1927;115;103;1,13;40,15;United Kingdom;Western Europe;"Cambridge University Press";"2002-2021";"Law (Q1); Political Science and International Relations (Q1); Economics and Econometrics (Q2)"
57;21100774810;"Health and Justice";journal;"21947899";0,808;Q1;12;34;67;1712;200;67;2,73;50,35;United Kingdom;Western Europe;"SpringerOpen";"2016-2021";"Law (Q1); Public Health, Environmental and Occupational Health (Q2)"
58;144977;"Homicide Studies";journal;"10887679";0,804;Q1;49;33;57;1940;150;54;2,55;58,79;United States;Northern America;"SAGE Publications Inc.";"1997-2021";"Law (Q1); Pathology and Forensic Medicine (Q1); Psychology (miscellaneous) (Q2)"
59;27743;"Forensic Science International";journal;"03790738, 18726283";0,798;Q1;128;378;1325;13837;3446;1292;2,51;36,61;Ireland;Western Europe;"Elsevier Ireland Ltd";"1978-2021";"Law (Q1); Pathology and Forensic Medicine (Q1)"
60;5000158107;"Asian Journal of Criminology";journal;"1871014X, 18710131";0,794;Q1;19;26;56;1613;132;53;2,05;62,04;Netherlands;Western Europe;"Springer Netherlands";"2006-2021";"Law (Q1)"
61;145137;"Critical Criminology";journal;"15729877, 12058629";0,783;Q1;30;59;122;4101;305;111;2,40;69,51;Netherlands;Western Europe;"Springer Netherlands";"1996-1997, 2000-2002, 2005-2021";"Law (Q1); Sociology and Political Science (Q1)"
62;22743;"International Environmental Agreements: Politics, Law and Economics";journal;"15679764, 15731553";0,781;Q1;40;41;124;2218;305;118;2,31;54,10;Netherlands;Western Europe;"Springer Netherlands";"2003-2021";"Law (Q1); Political Science and International Relations (Q1); Economics and Econometrics (Q2)"
63;21100269613;"Transnational Environmental Law";journal;"20471033, 20471025";0,781;Q1;21;25;75;937;182;74;1,90;37,48;United Kingdom;Western Europe;"Cambridge University Press";"2012-2021";"Law (Q1); Management, Monitoring, Policy and Law (Q2)"
64;21100922747;"Journal of Developmental and Life-Course Criminology";journal;"21994641, 2199465X";0,772;Q1;15;34;79;2275;167;75;2,11;66,91;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2021";"Law (Q1); Applied Psychology (Q2); Life-span and Life-course Studies (Q2)"
65;18777;"Violence Against Women";journal;"10778012, 15528448";0,769;Q1;102;230;306;12962;986;291;3,05;56,36;United States;Northern America;"SAGE Publications Inc.";"1995-2021";"Gender Studies (Q1); Law (Q1); Sociology and Political Science (Q1)"
66;21101023020;"German Law Journal";journal;"20718322";0,764;Q1;8;58;153;1468;208;153;1,36;25,31;United Kingdom;Western Europe;"Cambridge University Press";"2019-2021";"Law (Q1)"
67;15626;"International Journal of Law and Psychiatry";journal;"18736386, 01602527";0,763;Q1;69;54;276;2834;633;268;2,33;52,48;United Kingdom;Western Europe;"Elsevier Ltd.";"1978-1984, 1986-2021";"Law (Q1); Pathology and Forensic Medicine (Q1); Psychiatry and Mental Health (Q2)"
68;5700160617;"Criminal Justice Policy Review";journal;"08874034, 15523586";0,759;Q1;35;49;159;3097;291;156;1,75;63,20;United States;Northern America;"SAGE Publications Inc.";"1986-1987, 1989-1992, 1995, 1997-1999, 2004-2021";"Law (Q1)"
69;21100239836;"Digital Evidence and Electronic Signature Law Review";journal;"17564611";0,759;Q1;3;5;7;20;12;6;1,71;4,00;United Kingdom;Western Europe;"";"2012, 2020-2021";"Law (Q1)"
70;4700152205;"Criminology and Criminal Justice";journal;"17488966, 17488958";0,755;Q1;51;77;113;4254;304;108;1,91;55,25;United Kingdom;Western Europe;"SAGE Publications Ltd";"2002-2003, 2006-2021";"Law (Q1)"
71;21100430595;"Studies in Space Law";book series;"18717659";0,754;Q1;5;1;1;0;1;1;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2006-2009, 2011, 2013, 2018";"Law (Q1)"
72;21100788802;"Forensic Chemistry";journal;"24681709";0,739;Q1;18;73;196;2648;540;190;2,84;36,27;Netherlands;Western Europe;"Elsevier BV";"2016-2021";"Law (Q1); Materials Chemistry (Q1); Spectroscopy (Q1); Analytical Chemistry (Q2); Pathology and Forensic Medicine (Q2); Physical and Theoretical Chemistry (Q2)"
73;19786;"Utilities Policy";journal;"09571787";0,736;Q1;54;122;279;7195;902;274;3,35;58,98;United Kingdom;Western Europe;"Elsevier BV";"1990-1995, 1997-2001, 2003-2021";"Business and International Management (Q1); Development (Q1); Law (Q1); Sociology and Political Science (Q1); Management, Monitoring, Policy and Law (Q2)"
74;5400152639;"IET Intelligent Transport Systems";journal;"17519578, 1751956X";0,724;Q1;51;102;631;4531;2037;615;2,84;44,42;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2007-2021";"Law (Q1); Mechanical Engineering (Q1); Environmental Science (miscellaneous) (Q2); Transportation (Q2)"
75;19751;"Stanford Law Review";journal;"00389765";0,715;Q1;74;25;80;0;130;64;1,79;0,00;United States;Northern America;"Stanford Law School";"1974-1976, 1978-1979, 1987-1994, 1996-2021";"Law (Q1); Medicine (miscellaneous) (Q2)"
76;21101042192;"World Tax Journal";journal;"23529237, 18784917";0,713;Q1;3;4;36;221;20;36;0,56;55,25;Netherlands;Western Europe;"International Bureau of Fiscal Documentation (IBFD)";"2019-2021";"Law (Q1); Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)"
77;21101052765;"Journal of Criminology";journal;"26338076, 26338084";0,711;Q1;41;21;100;1175;250;98;2,35;55,95;United Kingdom;Western Europe;"SAGE Publications Ltd";"2021";"Law (Q1)"
78;21100830164;"Business and Human Rights Journal";journal;"20570198, 20570201";0,708;Q1;13;45;68;1562;103;68;1,47;34,71;United Kingdom;Western Europe;"Cambridge University Press";"2016-2021";"Industrial Relations (Q1); Law (Q1); Sociology and Political Science (Q1); Business and International Management (Q2)"
79;28802;"Electricity Journal";journal;"10406190";0,708;Q1;50;97;313;2700;727;290;2,62;27,84;United States;Northern America;"Elsevier Inc.";"1988-2021";"Law (Q1); Business and International Management (Q2); Energy (miscellaneous) (Q2); Management of Technology and Innovation (Q2)"
80;16300154766;"Crime, Media, Culture";journal;"17416590, 17416604";0,700;Q1;38;53;78;3020;201;71;2,44;56,98;United Kingdom;Western Europe;"SAGE Publications Ltd";"2005-2021";"Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Law (Q1)"
81;5600157637;"European Journal of Criminology";journal;"14773708";0,696;Q1;56;115;177;7111;402;172;1,78;61,83;United States;Northern America;"SAGE Publications Inc.";"2004-2021";"Law (Q1)"
82;6500153248;"Victims and Offenders";journal;"15564886, 15564991";0,692;Q1;32;88;200;5817;454;194;2,10;66,10;United Kingdom;Western Europe;"Routledge";"2006-2021";"Law (Q1); Applied Psychology (Q2); Health (social science) (Q2); Pathology and Forensic Medicine (Q2)"
83;12123;"Behavioral Sciences and the Law";journal;"10990798, 07353936";0,686;Q1;77;45;148;2643;344;144;2,50;58,73;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1983-2021";"Law (Q1); Clinical Psychology (Q2); Medicine (miscellaneous) (Q2); Psychiatry and Mental Health (Q2)"
84;12100155627;"Trends in Organized Crime";journal;"10844791, 19364830";0,675;Q1;28;44;58;2775;167;57;3,08;63,07;United States;Northern America;"Springer US";"1995-2002, 2004-2021";"Law (Q1)"
85;21100870677;"Crime Psychology Review";journal;"23744014";0,672;Q1;7;0;4;0;10;4;0,00;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2018";"Law (Q1); Applied Psychology (Q2)"
86;21100869222;"Journal of Legal Affairs and Dispute Resolution in Engineering and Construction";journal;"19434162, 19434170";0,672;Q1;13;65;164;3246;376;160;2,22;49,94;United States;Northern America;"American Society of Civil Engineers (ASCE)";"2009, 2018-2022";"Engineering (miscellaneous) (Q1); Law (Q1); Civil and Structural Engineering (Q2); Safety, Risk, Reliability and Quality (Q2)"
87;21100388413;"Policing (Oxford)";journal;"17524512, 17524520";0,668;Q1;20;86;127;3480;269;115;1,60;40,47;United Kingdom;Western Europe;"Oxford University Press";"2014-2021";"Law (Q1)"
88;25666;"Common Market Law Review";journal;"01650750";0,664;Q1;52;92;261;7086;207;245;0,58;77,02;Netherlands;Western Europe;"Kluwer Law International";"1996-2021";"Law (Q1); Political Science and International Relations (Q1)"
89;5200152206;"Annual Review of Law and Social Science";book series;"15503585";0,663;Q1;49;26;82;2783;213;81;1,93;107,04;United States;Northern America;"Annual Reviews Inc.";"2006-2020";"Law (Q1); Sociology and Political Science (Q1)"
90;21100217634;"Journal of Empirical Legal Studies";journal;"17401453, 17401461";0,661;Q1;27;26;89;1118;130;88;1,61;43,00;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2011-2021";"Law (Q1); Education (Q2)"
91;21100904891;"Forensic Science International: Synergy";journal;"2589871X";0,651;Q1;9;48;119;1628;243;92;2,04;33,92;Netherlands;Western Europe;"Elsevier BV";"2019-2021";"Law (Q1); Pathology and Forensic Medicine (Q2)"
92;12100156325;"Journal of Intervention and Statebuilding";journal;"17502977, 17502985";0,650;Q1;19;43;106;2852;218;91;1,66;66,33;United Kingdom;Western Europe;"Routledge";"2014-2021";"Law (Q1); Political Science and International Relations (Q1)"
93;14316;"Harvard Law Review";journal;"0017811X";0,643;Q1;88;45;149;421;188;103;1,27;9,36;United States;Northern America;"Harvard Law Review Association";"1973-2021";"Law (Q1)"
94;17600155423;"International Journal of Transitional Justice, The";journal;"17527724, 17527716";0,640;Q1;29;36;90;2173;138;85;1,55;60,36;United Kingdom;Western Europe;"Oxford University Press";"2011-2021";"Law (Q1)"
95;26339;"International and Comparative Law Quarterly";journal;"00205893";0,629;Q1;51;33;109;1029;156;109;1,19;31,18;United Kingdom;Western Europe;"Cambridge University Press";"1952-2021";"Law (Q1); Political Science and International Relations (Q1)"
96;5700168360;"Police Practice and Research";journal;"15614263";0,621;Q1;28;114;148;6616;255;125;1,58;58,04;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2021";"Law (Q1); Social Sciences (miscellaneous) (Q1)"
97;21100790507;"Comparative Legal History";journal;"20496788, 2049677X";0,619;Q1;4;9;27;0;11;20;0,53;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013, 2015-2021";"History (Q1); Law (Q1)"
98;21100298645;"Journal of Crime and Justice";journal;"21589119, 0735648X";0,617;Q1;29;52;124;3458;250;122;1,58;66,50;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1984-2021";"Law (Q1)"
99;5700154184;"Legal Theory";journal;"13523252, 14698048";0,617;Q1;32;13;39;614;36;36;0,65;47,23;United Kingdom;Western Europe;"Cambridge University Press";"1995-2021";"Law (Q1); Philosophy (Q1)"
100;21100923464;"International Data Privacy Law";journal;"20443994, 20444001";0,614;Q1;22;21;73;1390;143;57;1,92;66,19;United States;Northern America;"Oxford University Press";"2011-2021";"Law (Q1)"
101;144927;"Child Abuse Review";journal;"09529136";0,611;Q1;45;52;126;1637;225;103;1,68;31,48;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1992-2021";"Law (Q1); Pediatrics, Perinatology and Child Health (Q2); Social Work (Q2)"
102;22830;"Canadian Journal of Criminology and Criminal Justice";journal;"17077753, 19110219";0,610;Q1;40;6;59;428;103;56;1,56;71,33;Canada;Northern America;"University of Toronto Press";"2003-2020";"Law (Q1); Social Sciences (miscellaneous) (Q1)"
103;21541;"Policing";journal;"1363951X";0,610;Q1;51;66;212;3346;418;211;1,96;50,70;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1997-2021";"Law (Q1); Pathology and Forensic Medicine (Q2); Public Administration (Q2)"
104;20500195116;"Probation Journal";journal;"17413079, 02645505";0,609;Q1;34;37;102;1362;147;65;1,54;36,81;United Kingdom;Western Europe;"SAGE Publications Ltd";"1929-1949, 1954-1956, 1959, 1962, 1965-2021";"Law (Q1)"
105;21570;"Prison Journal";journal;"00328855, 15527522";0,606;Q1;53;35;116;1819;184;115;1,63;51,97;United States;Northern America;"SAGE Publications Inc.";"1921-1992, 1996-2021";"Law (Q1); Social Sciences (miscellaneous) (Q1)"
106;21100824895;"Journal of Energy and Natural Resources Law";journal;"23764538, 02646811";0,600;Q1;11;33;73;29;127;49;1,54;0,88;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2021";"Law (Q1); Energy (miscellaneous) (Q2)"
107;14293;"Deviant Behavior";journal;"15210456, 01639625";0,593;Q1;59;167;350;11087;682;344;1,77;66,39;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1979-2021";"Law (Q1); Sociology and Political Science (Q1); Clinical Psychology (Q2); Social Psychology (Q2)"
108;21100238638;"Global Policy";journal;"17585899, 17585880";0,592;Q1;36;139;330;6274;698;288;1,97;45,14;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010-2021";"Law (Q1); Political Science and International Relations (Q1); Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2); Global and Planetary Change (Q3)"
